Titre,Lieu,Date,Description,Prix,Lien
"À LOUER | Local Commercial / Bureau - La Soukra, Tunis - Réf : PA-0411","La Soukra, Ariana",13/02/25,"Description À LOUER | Local Commercial / Bureau - La Soukra, Tunis - Réf : PA-0411 Référence : PA-0411 Surface : H+1 en RDC Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose un local commercial ou bureau idéalement situé à La Soukra, à côté du terrain de golf. Il comprend un hall de réception avec WC et un bureau indépendant avec WC, parfait pour une agence immobilière, agence de voyages, cabinet ou tout autre projet commercial et bureautique. Emplacement stratégique et attractif. Prix : 1 200 DT / mois",1 200 DT/ Mois,https://www.menzili.tn/annonce/A-louer-local-commercial-bureau-la-soukra-tunis-ref-pa-0411-ariana-lasoukra-139586
Un spacieux appartement S+2 RDC à vendre à Hammamet 51355351,"Hammamet, Nabeul",13/02/25,Description #MS_IMMOBILIER met en #vente un appartement #RDC S+2 avec #entrée_indépendante et #terrasse  à #Hammamet   Chauffage central préinstallé Documents: Titre individuel Superficie: 115 m² Prix: 250 MD #Négociable Réf : AH076 Pour plus d’informations contactez-nous sur 51355351,250 000 DT,https://www.menzili.tn/annonce/un-spacieux-appartement-s-2-rdc-a-vendre-a-hammamet-51355351-nabeul-hammamet-139585
"À VENDRE | Fonds de Commerce - Bab El Khadra, Tunis - Réf : PA-0410","contact@paradis-immobilier.tn, Cité El Khadra, Tunis",13/02/25,"Description À VENDRE | Fonds de Commerce - Bab El Khadra, Tunis - Réf : PA-0410 Référence : PA-0410 Surface : 22 m² Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose un fonds de commerce de fast-food à vendre, idéalement situé à Bab El Khadra, en plein centre-ville. Profitez d’un emplacement stratégique et dynamique, parfait pour toute activité commerciale. Prix : 20 Mille Dinars Loyer après vente : 402 DT",20 000 DT,https://www.menzili.tn/annonce/A-vendre-fonds-de-commerce-bab-el-khadra-tunis-ref-pa-0410-tunis-citeelkhadra-139584
Superbe terrain de 1000 m² à Mrezga à vendre 51355351,"Mrezga, Nabeul",13/02/25,Description #A_VENDRE chez  #MS_IMMOBILIER  un superbe #Terrain   #viabilisé dans un quartier #chic et #résidentiel à #Mrezga avec un bon #voisinage   Titre foncier individuel  Superficie : 1000 m²  Prix : 800 dt/m²  Réf : TM036  Pour plus d’informations contactez-nous sur  51355351,Non disponible,https://www.menzili.tn/annonce/superbe-terrain-de-1000-m-a-mrezga-a-vendre-51355351-nabeul-mrezga-139583
Villa R+1 à Ezzahra – Proche de la plage,"Ezzahra, Ben Arous",13/02/25,"Description EN EXCLUSVITE RE/MAX Gold ON vous propose à la vente une superbe villa R+1 idéalement située à Ezzahra, à quelques mètres de la plage, dans un quartier calme et résidentiel.  Caractéristiques du bien : ???? Superficie terrain : 380 m² ???? Superficie bâtie : 260 m²  Composition : ✅ Rez-de-chaussée :  Salon spacieux Cuisine équipée 2 chambres Salle de bain ✅ 1er étage :  Séjour 3 chambres à coucher Salle de bain ✅ Extérieur : ???? Jardin entourant la maison ???? Studio indépendant dans le jardin ???? Garage pour 2 voitures ???? Vue imprenable sur la montagne Bougornine et la mer  ???? Contactez-nous dès maintenant ! ???? Téléphone & WhatsApp : +216 27 55 48 55 ???? Email : skander.chahed@remax.com.tn",850 000 DT,https://www.menzili.tn/annonce/villa-r-1-a-ezzahra-proche-de-la-plage-benarous-ezzahra-139582
Un terrain à vendre située à Hammem sousse,"Hammam Sousse, Sousse",13/02/25,Description Agence Basma Immobilière ???????? vous propose à vendre un terrain de 473M² à Hammem sousse Cléopâtre Prés de tout commodités. ✔️Titré  Prix: 540 000 DT???????? Pour plus de renseignements merci de nous contactez sur : ✅téléphone☎️: 46 010 000/52 080 000 /73 319 380 ✅WhatsApp: 46 010 000 ✅site web : http://basma-immobiliere.tn/ ✅Moubaweb : https://www.mubawab.tn/fr/cms/my-content...,540 000 DT,https://www.menzili.tn/annonce/un-terrain-a-vendre-situee-a-hammem-sousse-sousse-hammamsousse-139581
Terrain viabilisé de 600 m² à vendre à Hammamet 51355351,"Hammamet, Nabeul",13/02/25,"Description #A_VENDRE chez notre agence  #MS_IMMOBILIER  ce #Terrain dans un quartier #calme et #sécurisé à #Hammamet    Électricité, gaz et eau  Papiers en règle  Superficie 600 m²  Prix : 650 dt/m² #Négociable   Réf : TH052  Pour plus d’informations contactez-nous sur  51355351",390 000 DT,https://www.menzili.tn/annonce/terrain-viabilise-de-600-m-a-vendre-a-hammamet-51355351-nabeul-hammamet-139579
Villa avec piscine et jardin à Hammamet Sud à vendre 51355351,"Hammamet Sud, Nabeul",13/02/25,Description c#MS_IMMOBILIERcmet en #venteccette charmantec #villa S+3 dont l'une des chambres est une #suite_parentale avec #piscinecet #jardincà #Hammamet_Sud Document: titre foncier  Superficie terrain : 362 m² Superficie Couvert: 180 m² Prix : 450 MD   Réf : MHS111 Pour plus d’informations contactez-nous sur 51355351,450 000 DT,https://www.menzili.tn/annonce/villa-avec-piscine-et-jardin-a-hammamet-sud-a-vendre-51355351-nabeul-hammametsud-139578
Une villa plein pied à Louer,"prestige@century21.tn, La Soukra, Ariana",13/02/25,"Description Century 21 Prestige vous propose à la location cette Villa indépendante en S+3 avec une piscine et un jardin, située à la Soukra.  Elle se compose comme suit :  - Un salon, salle à manger  - Une salle d'eau pour les invités  - Une cuisine équipée avec accès à un séchoir et un débarras  - Deux chambres à coucher avec Dressings  - Une salle de douche commune  - Une suite parentale avec Dressing et Salle de bain  - Un jardin  - Une piscine  - Possibilité de garer plusieurs voitures Pour plus d’informations ou pour organiser une visite, contactez-nous",4 000 DT,https://www.menzili.tn/annonce/une-villa-plein-pied-a-louer-ariana-lasoukra-139577
Terrain de 1380 m² à vendre à Hammamet 51355351,"Hammamet, Nabeul",13/02/25,Description #MS_IMMOBILIER met en #vente un #terrain presque #clôturé  à #Hammamet    Eau et électricité   Superficie : 1380 m²   Possible de vendre par #Parcelle  Prix : 450 dt/m²  Réf : TH029   Pour plus d’informations contactez-nous sur  51355351,Non disponible,https://www.menzili.tn/annonce/terrain-de-1380-m-a-vendre-a-hammamet-51355351-nabeul-hammamet-139576
Un appartement s+2 meublé à louer située à sahloul1,"Sahloul, Sousse",13/02/25,"Description Agence Basma Immobilière ???????? vous propose à louer un appartement de type s+2 meublé , situé à sahloul 1 dans une résidence en 4éme étage prés de toute commodité. L'appartement se compose comme suit: ✅Salon ✅deux chambres à coucher ✅une cuisine bien équipée ✅une salle de bain Prestations: *Chauffage centrale *Climatisation *ascenseur Prix: 1300dt/mois???????? Pour plus de renseignements contactez nous sur : ✅téléphone☎️: 46010000/ 52080000 / 73319380 ✅WhatsApp: 46 010 000/ 52 110 000 ✅site web : http://basma-immobiliere.tn/",1 300 DT/ Mois,https://www.menzili.tn/annonce/un-appartement-s-2-meuble-a-louer-situee-a-sahloul1-sousse-sahloul-139575
Projet à vendre zone urbaine titre bleu,"Djerba-Houmt Souk, Médenine",13/02/25,Description Vente sur plan Réf P691 Proche centre-ville Houmt Souk   Ecole internationale à 5mn  Port de plaisance à 05mn Aéroport à 20mn Plage à 10mn  Bon voisinage  lot individuel de 546 m² Titre foncier © Zone urbaine  236 m² de surface totale couverte dont 24 m² garage,Non disponible,https://www.menzili.tn/annonce/projet-a-vendre-zone-urbaine-titre-bleu-medenine-djerbahoumtsouk-139574
Un terrain à vendre située à Mahdia salakta,"basma.Immobiliere@gmail.com, Mahdia, Mahdia",13/02/25,Description Agence Basma Immobilière ???????? vous propose à vendre un terrain de 1000 M² à Salakta Mahdia vue de mer. ✔️Titré  Prix: 350 000 DT???? Pour plus de renseignements merci de nous contactez sur : ✅téléphone☎️: 46 010 000/52 080 000 /73 319 380 ✅WhatsApp: 46 010 000 ✅site web : http://basma-immobiliere.tn/ ✅Moubaweb : https://www.mubawab.tn/fr/cms/my-content...,350 000 DT,https://www.menzili.tn/annonce/un-terrain-a-vendre-situee-a-mahdia-salakta-mahdia-mahdia-139573
À VENDRE – PROJET EXCLUSIF À HOUMT SOUK,"Djerba-Houmt Souk, Médenine",13/02/25,"Description À VENDRE – PROJET EXCLUSIF À HOUMT SOUK  Vous rêvez d’une villa moderne à Djerba ?  Localisation : Houmt Souk, en zone urbaine (ZU) Superficie : 412 m² de terrain Vente sur plan – Personnalisez votre futur chez-vous ! Terrain titré & permis valide Un design moderne, une architecture épurée et des espaces lumineux pour un confort optimal !   Contactez-nous dès maintenant ! +216 21 067 029 visavis-immobilier.com",Non disponible,https://www.menzili.tn/annonce/A-vendre-projet-exclusif-A-houmt-souk-medenine-djerbahoumtsouk-139572
Projet titre bleu zone urbaine Houmt Souk Djerba,"Djerba-Houmt Souk, Médenine",13/02/25,"Description Modèle de plan exclusif à Agence Vis A Vis immobilier Djerba  Avoir une maison unique, c'est avec visavis immobilier Djerba  Terrain 401 m² disponible avec permis de construire avec ce modèle 195 m² couvert | Garage et clôture  Villa avec étage | 3 suites & salle d'eau invité | toutes les pièces sont orientées vers la terrasse de piscine ????  Titre bleu individuel - matériaux au choix du client  Lancez les travaux et payez sur tranches  Livraison 8 mois après signature   21 067 029 est votre unique et seul interlocuteur de l' Agence Vis A Vis immobilier Djerba",Non disponible,https://www.menzili.tn/annonce/projet-titre-bleu-zone-urbaine-houmt-souk-djerba-medenine-djerbahoumtsouk-139571
Appartement en s2 A vendre,"Cité Wafa , Nabeul, Nabeul, Nabeul",13/02/25,Description AVENDRE  Un bel appartement S2  d’une bonne orientation avec un balcon . Il est situé à Afh Mrezga dans une résidence sécurisée  Place de parking  disponible Superficie  104 m² Terrasse  12 m² Visite du bien disponible 7/7 et Gratuite Pour plus d’informations contactez 20 973 600 disponible aussi par whatsapp,363 DT,https://www.menzili.tn/annonce/appartement-en-s2-a-vendre-nabeul-nabeul-139570
Studio à Ennaser2,"Ennaser 2, Menzah, Ariana",13/02/25,"Description On vous propose à la location un studio rénové, pas loin de la clinique Amilcar et l'hôtel Samaron Le studio se trouve dans une résidence gardée et desservie par un ascenseur  L’entrée  donne sur un couloir qui donne sur: Un salon donnant sur un grand balcon vue sur l'avenue Hedi nuira Une  cuisine  indépendante bien équipée  Une chambre à coucher  Une salle de bain  Un placard de rangement au couloir  Le studio est spacieux  Idéale pour un couple ,médecin, corps médical par sa proximité de la clinique  Possibilité de location meublé  Envie de visiter ou d'en savoir plus ?  Veuillez nous appeler au 98271714 ou 95502726",900 DT/ Mois,https://www.menzili.tn/annonce/studio-a-ennaser2-ariana-menzah-139569
Maison دار للبيع,"Tel 26455204, Sakiet Eddaïer, Sfax",13/02/25,Description طريق سيدي منصور كلم12 terminus 3   S+2+garage Maisonدار للبيع,110 DT,https://www.menzili.tn/annonce/maison-دار-للبيع-sfax-sakieteddaier-139568
A vendre une Chic S3 à Khzema Est,"immo.internationale@gmail.com, Sahloul, Sousse",13/02/25,Description L’immobilière Internationale met pour la vente un Charmant appartement idéalement situé au cœur de khzema EST de type S+3 Proche de tous les commodités et des transports en commun d'une superficie 120m². ( 2min sur la zone touristique)  Composé de : - Un salon lumineux offrant sur un balcon - Trois chambres à Coucher - Une cuisine équipée offrant sur un balcon - Une salle de bain avec baignoire - Une salle d'eau Cet appartement bien équipée par le Chauffage Centrale et la Climatisations. Prix de vente : 320.000 DT Soyez les bienvenus à notre agence Immobilière internationale Tunisie ou bien contacter : 53 528 889 / 55 528 102 Viber et Whatsapp ☎️ 73 242 044 ???? https://www.immo-internationale.com.tn ???? immo.internationale@gmail.com,320 000 DT,https://www.menzili.tn/annonce/a-vendre-une-chic-s3-a-khzema-est-sousse-sahloul-139567
Appartement s+2,"megrine coteaux, Mégrine, Ben Arous",13/02/25,"Description Pour la location Megrine citée Jawhra Type : Etage de villa S+2 Prix : 1200 Nous mettons à votre disposition pour la location un étage de villa haut standing S+2 au première etage Il se compose à l'entrée d’un salon très spacieux ,2 chambres à coucher avec dressing ,une cuisine bien aménagée avec séchoir et une salle de bain avec douchette. • Chauffage central , gaz de ville Garage N’hésitez pas à nous contacter pour une éventuelle visite ainsi une prise de connaissance des différents détails. contacte : 24 355 825 / 22184411 Visitez notre site web pour plus d'offres sur la Banlieue Sud : ___________________________________ ☎ Contacts : 77 Avenue de la république, 2033 Mégrine 24 355 825",1 200 DT/ Mois,https://www.menzili.tn/annonce/appartement-s-2-benarous-megrine-139566
Studio au berges du lac,"Les Berges du Lac, Les Berges Du Lac, Tunis",13/02/25,Description On vous propose à la vente un appartement s1 au berges du lac   l'appartement se compose -d’un hall qui distribue une cuisine donnant sur un séchoir  -un grand salon donnant sur un balcon  -une chambre à coucher  -une salle de bain l’appartement fait 57m de superficie nette hors partie commune et balcon.  l’appartement nécessite un rafraichissement et une mise à niveau. pour plus de détails veuillez nous appeler au 98271714,230 000 DT,https://www.menzili.tn/annonce/studio-au-berges-du-lac-tunis-lesbergesdulac-139565
Appartement S3 sur avenue Taher ben Ammar,"Menzah9, Menzah, Ariana",13/02/25,"Description On vous propose à la vente un appartement s+3 à Menzah 9 sur l'avenue Taher ben Ammar  à proximité des commerces , écoles et des moyens de transports  l’entrée donne sur un couloir qui distribue  -un salon salle à manger donnant sur un balcon vue panoramique  -trois chambres à coucher -une salle d'eau invités  -une salle de bain commune est disponible. -une cuisine donnant sur un séchoir  chauffage central.  l'appartement est ancien mais bien entretenu  appartement idéal pour habitation ou investissement locatif  pour plus de détails veuillez nous appeler au 98271714.",259 000 DT,https://www.menzili.tn/annonce/appartement-s3-sur-avenue-taher-ben-ammar-ariana-menzah-139564
Un terrain 5 min de la plage à dar allouche  kélibia avec facilité du paiement,"kélibia, El Haouaria, Nabeul",13/02/25,Description à vendre un lot du terrain situé à dar Allouche kélibia 1 klm de la plage. emplacement calme  bien sécurisé et très demandé.  document : titre bleu  l'eau et l'électricité sont disponibles  superficie :  227 m²  prix : 32 mille  facilité du paiement  pour plus d'information et planifier une visite contacter le +216 24 223 938  WhatsApp +216 24 223 938,32 000 DT,https://www.menzili.tn/annonce/un-terrain-5-min-de-la-plage-a-dar-allouche-kelibia-avec-facilite-du-paiement-nabeul-elhaouaria-139563
Terrain avec facilite de paiement,"Hammam Ghezèze, Nabeul",13/02/25,"Description a vendre un terrain de 1000 m² titre foncier collectif de vocation agricole, 1ere position a la plage d’ezzahra kelibia emplacement d’investissement avec façade sur mer panoramique  prix : 63 md avance 15 md et le reste a 48 mois pour plus information appeler : 99 307 890",63 000 DT,https://www.menzili.tn/annonce/terrain-avec-facilite-de-paiement-nabeul-hammamghezeze-139562
Appartement s+3,"megrine coteaux, Mégrine, Ben Arous",13/02/25,"Description Pour la location   Type : Appartement  S+3 Superficie : 185 m² Nous mettons à votre disposition pour la location un appartement haut standing au deuxième étage d'une résidence bien sécurisée avec des caméra de surveillance à Mégrine Coteaux  10 minutes du centre-ville Tunis.  Il se compose à l'entrée d'un lumineux salon ,un couloir qui mène à 3 chambres à trois chambres a coucher bien spacieuses dont une avec dressing et balcon ,une cuisine bien équipée (plaque de cuisson, four, gaz de ville) avec séchoir et une salle de bain avec jacuzzi médical. • installation sonore au plafond dans tout les chambres • Chauffage central et climatiseurs disponibles • Abris de voiture N’hésitez pas à nous contacter pour une éventuelle visite ainsi une prise de connaissance des différents détails. #agenceimmobiliereriahi    24 355 825 /  22 184 411",1 600 DT/ Mois,https://www.menzili.tn/annonce/appartement-s-3-benarous-megrine-139561
"À Vendre – Appartement S+3 à Hedi Nouira, Borj Louzir","hedi nouira borj louzir, La Soukra, Ariana",13/02/25,"Description Nous vous proposons un S+3 au 2ᵉ étage d’une résidence calme et sécurisée à Hedi Nouira, Borj Louzir.  Caractéristiques : ✅ 3 chambres lumineuses ✅ Salon spacieux avec balcon ✅ Cuisine avec séchoir ✅ Salle de bain + salle d’eau ✅ Résidence sécurisée avec gardiennage ✅ Emplacement stratégique, proche des commerces, écoles et transports  Pour plus d’informations ou pour une visite, contactez votre conseiller en immobilier  Tel&WhatsApp +21627554855 E-mail skander.chahed@remax.com.tn",240 000 DT,https://www.menzili.tn/annonce/A-vendre-appartement-s-3-a-hedi-nouira-borj-louzir-ariana-lasoukra-139560
Terrain clôturé de 658 m² à Hammamet Nord à vendre 51355351,"Hammamet Nord, Nabeul",13/02/25,Description #A_VENDRE  chez  #MS_IMMOBILIER un #Terrain  #clôturé dans une #cité_résidentielle à #Hammamet_Nord   L'eau et l'électricité sont disponibles dans la zone Superficie: 658 m² Prix : 400 MD Réf : TH027 Pour plus d’informations contactez-nous sur 51355351,400 000 DT,https://www.menzili.tn/annonce/terrain-cloture-de-658-m-a-hammamet-nord-a-vendre-51355351-nabeul-hammametnord-139559
Opportunité Exceptionnelle  pour Promoteur Immobilier,"Hammam Sousse, Sousse",12/02/25,Description Terrain de premier choix idéalement situé dans un quartier de Hammam Sousse en plein essor Ce terrain de 1705m² offre un potentiel de développement unique pour un projet immobilier d’envergure   Caractéristiques  * Emplacement stratégique  à proximité des transports en cummun  des commerces  des écoles  et des principaux axes routiers * Superficie de 1705m² permettant le construction d’une résidence et locaux commerciaux  * Quartier vivant et dynamique offrant un cadre de vie pratique  * Potentiel de valorisation élevé investissement sûr dans un secteur en forte demande  Informations complémentaires  * Documents disponibles à l’agence * Prix 2500 DT/M² * Tél & WhatsApp  216 54 54 90 54 Ne manquez pas cette occasion unique d’acquérir un terrain exceptionnel pour votre prochain projet immobilier à Sousse,4 262 500 DT,https://www.menzili.tn/annonce/opportunite-exceptionnelle-pour-promoteur-immobilier-sousse-hammamsousse-139557
"À VENDRE | Fond de commerce - Salon de thé - Sidi Rezig, Megrine, Ben Arous","contact@paradis-immobilier.tn, Mégrine, Ben Arous",12/02/25,"Description À VENDRE | Fond de commerce - Salon de thé - Sidi Rezig, Megrine, Ben Arous - Réf : PA-0404 Référence : PA-0404 Surface : 200 m² Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose un salon de thé clé en main, bien situé à Sidi Rezig, Megrine. En activité depuis 15 ans, il est très rentable, avec justificatif de recettes quotidiennes et suivi des ventes journalier. Le fonds de commerce est déclaré fiscalement et entièrement en règle. Il dispose de deux terrasses extérieures (25m² et 45m²), offrant un cadre agréable pour la clientèle. Cause de vente : départ du propriétaire. Prix : 450 Milles Dinars",450 000 DT,https://www.menzili.tn/annonce/A-vendre-fond-de-commerce-salon-de-the-sidi-rezig-megrine-ben-arous-benarous-megrine-139555
AV villa avec studio indépendant à la marsa,"La Marsa Sidi Abdelaziz, La Marsa, Tunis",12/02/25,"Description L’agence Idéal Immobilier vous propose à la vente une villa située à La Marsa, Sidi Abdelaziz. Édifiée sur un terrain de 327,50m², cette propriété se distingue par son architecture fonctionnelle, ses espaces lumineux et son emplacement stratégique. Elle se compose d’une villa principale sur deux niveaux ainsi qu’un appartement indépendant au rez-de-jardin. - L’appartement indépendant, d’une superficie de 90m², comprend un salon, deux chambres et une salle de bain, offrant un espace supplémentaire idéal pour les invités ou à usage locatif. - La villa principale, d’une superficie bâtie de 240m², se compose au rez-de-chaussée d’un salon lumineux donnant sur le jardin, une chambre, une cuisine avec accès à une terrasse, ainsi qu’une salle d’eau pour les visiteurs. - À l’étage, on retrouve une suite parentale avec salle de bain, deux chambres et une salle de bain commune, offrant tout le confort nécessaire. Prix de vente : 1 500 000 DT Pour plus d’informations ou pour organiser une visite, contactez-nous au (+216) 53 540 819 Retrouvez toutes nos offres sur www.idealimmo.tn",1 500 000 DT,https://www.menzili.tn/annonce/av-villa-avec-studio-independant-a-la-marsa-tunis-lamarsa-139554
Terrain vue de mer de 1122 m² à vendre à Hammamet Nord,"Hammamet Nord, Nabeul",12/02/25,Description #A_VENDRE chez notre #agence  #MS_IMMOBILIER un superbe #Terrain à #Hammamet_Nord dans un quartier #calme et #chic avec un excellent #voisinage  Superficie : 1122 m² Prix : 550 dt/m² Réf : TH026 Pour plus d’informations contactez-nous sur 51355351,Non disponible,https://www.menzili.tn/annonce/terrain-vue-de-mer-de-1122-m-a-vendre-a-hammamet-nord-nabeul-hammametnord-139553
À VENDRE  Fond de Commerce à seulement 8 000 DT  Lafayette Tunis,"contact@paradis-immobilier.tn, Centre Ville - Lafayette, Tunis",12/02/25,"Description À VENDRE | Fond de Commerce à seulement 8 000 DT – Lafayette, Tunis Réf : PA-0366 Superficie : 40 m² Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose à la vente le fond de commerce d’une librairie située à Lafayette pour seulement 8 000 DT ! Une opportunité rare dans un emplacement stratégique à fort passage, parfait pour lancer ou développer une activité commerciale. Prix du fond de commerce seul : 8 000 DT Loyer mensuel : 600 DT Option d’achat avec les murs : 110 000 DT Avantages : Prix très attractif pour le fond de commerce Emplacement idéal au centre de Tunis Surface fonctionnelle de 40 m² Disponible immédiatement Ne manquez pas cette occasion ! Contactez-nous dès maintenant pour plus d’informations ou pour organiser une visite.",8 000 DT,https://www.menzili.tn/annonce/A-vendre-fond-de-commerce-a-seulement-8-000-dt-lafayette-tunis-tunis-centrevillelafayette-139552
À VENDRE / À LOUER | Showroom avec atelier - Soukra Chotrana 1,"La Soukra, Ariana",12/02/25,"Description À VENDRE / À LOUER | Showroom avec atelier - Soukra Chotrana 1 - Réf : PA-0395 Référence : PA-0395 Surface : 420 m² Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose un spacieux showroom avec atelier idéal pour une activité commerciale, situé à Soukra Chotrana 1. Emplacement stratégique en 1er étage avec façade sur rue très fréquentée. Ne manquez pas cette opportunité ! Prix : 60 Milles Dinars fond de commece Gérance libre : 4200 DT/mois",60 000 DT/ Mois,https://www.menzili.tn/annonce/A-vendre-A-louer-showroom-avec-atelier-soukra-chotrana-1-ariana-lasoukra-139551
"Appartement S+2 à Louer - Jardins de Carthage, Tunis","Carthage, Tunis",12/02/25,"Description Appartement S+2 à Louer - Jardins de Carthage, Tunis Référence : PA-0330 Surface : 113 m² Prix : 1.650 DT / Mois (Charges Comprises) Téléphone & WhatsApp : +216.29.971.100 / +216.25.28.75.28 Paradis Immobilier vous propose un appartement S+2 situé au premier étage d'une résidence privée (R+2), sécurisée et calme, à Jardins de Carthage, Tunis. Caractéristiques : Superficie : 113 m². Salon spacieux. 2 chambres avec placards. Cuisine équipée. Salle de bain + salle d’eau. Avantages : Résidence sécurisée avec gardien 24h/24. Place de parking au sous-sol et cellier inclus. Climatisation et chauffage central. Pour plus d'informations ou pour organiser une visite, contactez-nous dès maintenant.",Non disponible,https://www.menzili.tn/annonce/appartement-s-2-a-louer-jardins-de-carthage-tunis-tunis-carthage-139550
Appartement s1 center ville,"rue madrid centre ville, Centre Ville - Lafayette, Tunis",12/02/25,Description a louer appartement s+1 center ville a la 3 etage 52 avenu de madrid tunis a coté banque tunisie 1 mn pres de station métro bab el khadra .avec ascenseur et appartement non meublé avec chauffage centrale  disponible avec un balcon vue de rue.pour plus d info num 54483640  للإيجار شقة S+1 في وسط المدينة في الطابق الثالث مع مصعد 52 شارع مدريد تونس بجوار بنك تونس على بعد دقيقة واحدة بالقرب من محطة مترو باب الخضراء مع مصعد وشقة غير مفروشة مع تدفئة مركزية متوفرة مع شرفة مطلة على الشارع لمزيد من المعلومات اتصل على الرقم 54483640,750 DT,https://www.menzili.tn/annonce/appartement-s1-center-ville-tunis-centrevillelafayette-139549
Maison à vendre à Houmet Saied  Kairouan,"Kairouan Nord, Kairouan",12/02/25,Description 140 m² Actuellement utilisée  Location pour étudiants  Sans étage supérieur  Pour plus d’informations et pour visiter  29218340 Ou contactez notre bureau à Souk El Raba Kairouan    منزل للبيع بحومة السيد بالقيروان  140 متر مربع يتم استعماله حاليًا إيجار للطلبة  بدون علوي  للاستفسار والزيارة 29218340 أو الاتصال بالمكتب بسوق الربع بالقيروان,160 000 DT,https://www.menzili.tn/annonce/maison-a-vendre-a-houmet-saied-kairouan-kairouan-kairouannord-139548
Appartement à vendre à Hajjam – Kairouan علوي للبيع في الحجام,"Kairouan Nord, Kairouan",12/02/25,Description علوي للبيع في الحجام – القيروان     110 متر مربع  مدخل منفرد يوفر الخصوصية والراحة ✅ للاستفسار والزيارة 29218340 ✅ أو الاتصال بالمكتب بسوق الربع القيروان #عقاراتالقيروان #عقاراتللبيع #منزلللبيع #عقاراتتونس #بيعوشراءعقارات #عقارالقيروان Appartement à vendre à Hajjam – Kairouan    110 m² Entrée indépendante offrant intimité et confort  Pour toute information et visite  Appelez-nous au  216 29 218 340 Hajjam Kairouan,85 000 DT,https://www.menzili.tn/annonce/appartement-a-vendre-a-hajjam-kairouan-علوي-للبيع-في-الحجام-kairouan-kairouannord-139547
Terrain agricole 2 hectares a vendre a kairouan,"Kairouan Nord, Kairouan",12/02/25,Description 2 hectares à vendre à Dhraa   Titre individuel pour une propriété sécurisée et fiable Équipé d’un sondage et d’une citerne pour un approvisionnement en eau constant Maison ancienne sur place idéale pour rénovation ou développement Emplacement  Situé à moins de 1 km de la route de Tunis dans un quartier calme et prisé.      فرصة استثمارية رائعة  2 هكتار للبيع في منطقة الذراع    شهادة ملكية فردية تضمن الأمان والموثوقية مزوّدة بصنطاج وجابية توفر مياه مستدامة منزل قديم موجود على الأرض، قابل للتطوير يبعد أقل من 1 كلم عن طريق تونس، ويقع في منطقة هادئة ومميزة.,120 000 DT,https://www.menzili.tn/annonce/terrain-agricole-2-hectares-a-vendre-a-kairouan-kairouan-kairouannord-139546
Terrain Agricole a vendre Sbikha kairouan,"Kairouan Nord, Kairouan",12/02/25,Description قطعة أرض زراعية مميزة – معتمدية السبيخة، ولاية القيروان  1 hectar   تحتوي على 16 شجرة زيتون مسجلة رسميًا في دفتر خانة ✅  50 مليون  للتواصل والاستفسار زوروا مكتبنا بسوق الربع، القيروان الهاتف 29218340      Terrain Agricole – Délégation Sbikha Gouvernorat de Kairouan   1 hectare   Comprend 16 oliviers Enregistré officiellement au registre foncier ✅ Prix demandé  50 000 Dinars  Pour plus d’informations  Visitez notre bureau à Souk Erbaa Kairouan Tél.  29218340,50 000 DT,https://www.menzili.tn/annonce/terrain-agricole-a-vendre-sbikha-kairouan-kairouan-kairouannord-139545
2 Appartements à vendre à Mansoura – Sur la rue principale,"Kairouan Nord, Kairouan",12/02/25,Description 2 علوي للبيع بالمنصورة – على الشارع الرئيسي   يصلح لمكاتب أو إدارة مشروع مناسب كسكن مريح وعصري  الطابق الأول علوي مجهز بالكامل الطابق الثاني علوي مستقل ✅ للاستفسار والزيارة 29218340 ✅ أو الاتصال بالمكتب بسوق الربع القيروان      2 Appartements à vendre à Mansoura – Sur la rue principale  Emplacement  En plein centre de Mansoura sur la rue principale Utilisation possible   Idéal pour des bureaux ou un projet administratif Convient également pour un logement moderne et confortable   Appartement entièrement équipé  Appartement indépendant,140 000 DT,https://www.menzili.tn/annonce/2-appartements-a-vendre-a-mansoura-sur-la-rue-principale-kairouan-kairouannord-139544
Villa avec jardin et piscine à vendre à Hammamet Sud51355351,"Hammamet Sud, Nabeul",12/02/25,Description #MS IMMOBILIER met en #vente cette #villa S+3 #richemenet_meublée avec #jardin #pergola et #piscine dans un #quartier #chic et #résidentiel à #Hammamet_Sud   Abri pour plusieurs voitures Chauffage central et des climatiseurs sont disponibles  Superficie couvert : 440 m² Superficie : 750 m² Prix: 590 MD  Réf : MHS153 Pour plus d’informations contactez-nous sur 51355351,590 000 DT,https://www.menzili.tn/annonce/villa-avec-jardin-et-piscine-a-vendre-a-hammamet-sud51355351-nabeul-hammametsud-139543
